0								
1			129				0.0039	0.0039,21568627451	0.9945	127.7952
2			257				0.0078	0.0078,43137254902

3			386				0.0078	0.0117,647058823529
4			514				0.0157	0.0156,862745098039
5			643				0.0196	0.0196,078431372549
6			771				0.0235	0.0235,294117647059
7			900				0.0275	0.0274,509803921569
8			1028			0.0314	0.0313,725490196078
9			1157			0.0353	0.0352,941176470588
10		1285			0.0392	0.0392,156862745098
20		2570			0.0784
30		38552			0.1176
32		4112			0.1255
40		5140			0.1569
50		6425			0.1961
64		8224			0.2510
100		12850			0.3922
128		16448			0.5020
200		25700			0.7843
255		32768			1.0
